DUID,PROJECT_NAME,LOCATION,REZ,REZ_NAME,STATE,REGIONID,NAMEPLATE_MW,VOLTAGE_KV,FUEL_TYPE,TECHNOLOGY,MLF_FY24-25,MLF_FY25-26,MLF_FY26-27 (Draft),CURTAILMENT_ACTUAL_FY23-24,CURTAILMENT_ACTUAL_FY24-25,ELI_CURTAILMENT_NEAR,ELI_CURTAILMENT_MED,ISP_CURTAILMENT_FY1,ISP_CURTAILMENT_FY1_LABEL,ISP_CURTAILMENT_FY2,ISP_CURTAILMENT_FY2_LABEL,ISP_CURTAILMENT_FY3,ISP_CURTAILMENT_FY3_LABEL,ISP_CURTAILMENT_AVG,ISP_OFFLOADING_FY1,ISP_OFFLOADING_FY1_LABEL,ISP_OFFLOADING_FY2,ISP_OFFLOADING_FY2_LABEL,ISP_OFFLOADING_FY3,ISP_OFFLOADING_FY3_LABEL,ISP_OFFLOADING_AVG
AVLSF1,Avonlie Solar Farm,Wagga,Y,Wagga Wagga,NSW,NSW1,254.1,132.0,Solar,Renewable,0.8446,0.8698,0.8245,0.0511,0.1441,0.585990827565887,0.00631707880200049,0.0,25-26,0.0,26-27,0.0,27-28,0.0,0.01,25-26,0.03,26-27,0.06,27-28,0.03333333333333333
BERYLSF1,Beryl Solar Farm,Beryl,Y,Central West Orana,NSW,NSW1,98.4,66.0,Solar,Renewable,0.9182,0.9284,0.9235,0.0521,0.128,0.636442356808484,0.6001917294906,0.15,25-26,0.12,26-27,0.16,27-28,0.14333333333333334,0.21,25-26,0.19,26-27,0.22,27-28,0.20666666666666667
BOMENSF1,Bomen Solar Farm,Wagga,Y,Wagga Wagga,NSW,NSW1,121.0,132.0,Solar,Renewable,0.8719,0.9187,0.869,0.132,0.123,0.585990827565887,0.00631707880200049,0.0,25-26,0.0,26-27,0.0,27-28,0.0,0.01,25-26,0.03,26-27,0.06,27-28,0.03333333333333333
BROKENH1,Broken Hill Solar Plant,Broken Hill,Y,Broken Hill,NSW,NSW1,53.0,22.0,Solar,Renewable,0.7784,0.8642,0.8405,0.115,0.1492,0.399270575823056,0.017550018083952,0.0,25-26,0.03,26-27,0.02,27-28,0.016666666666666666,0.0,25-26,0.09,26-27,0.12,27-28,0.06999999999999999
CESF1,Capital East Solar Farm,,N,Non-REZ,NSW,NSW1,0.205,,Solar,Renewable,0.9751,0.9954,0.9961,,,,,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
COLEASF1,Coleambally Solar Farm,Griffith,N,Non-REZ,NSW,NSW1,150.3,132.0,Solar,Renewable,0.8367,0.873,0.825,0.0327,0.0292,0.64186785726147,0.0107432723897736,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
CRWASF1,Corowa Solar Farm,Dinawan,Y,South west NSW,NSW,NSW1,36.01,132.0,Solar,Renewable,0.8979,0.9355,0.8778,0.0862,0.0799,0.529503172508041,7.25361393862922e-05,0.11,25-26,0.09,26-27,0.01,27-28,0.07,0.16,25-26,0.17,26-27,0.09,27-28,0.14
CUSF1,Culcairn Solar Farm,,N,Non-REZ,NSW,NSW1,466.0,,Solar,Renewable,0.9167,0.9278,0.8853,,,,,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
DARLSF1,Darlington Point Solar Farm,Griffith,N,Non-REZ,NSW,NSW1,274.97,132.0,Solar,Renewable,0.8439,0.8854,0.8395,0.0636,0.0833,0.64186785726147,0.0107432723897736,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
FINLYSF1,Finley Solar Farm,Deniliquin,N,Non-REZ,NSW,NSW1,162.36,132.0,Solar,Renewable,0.8651,0.8898,0.8387,0.0643,0.0762,0.703282699789685,0.264676213474225,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
GESF1,Glenellen Solar Farm,,N,Non-REZ,NSW,NSW1,264.0,,Solar,Renewable,,0.9255,0.884,,,,,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
GOONSF1,Goonumbla Solar Farm,Parkes,Y,Central West Orana,NSW,NSW1,69.75,66.0,Solar,Renewable,0.8969,0.8888,0.8827,0.132,0.3285,0.87127903942823,0.886109380719023,0.15,25-26,0.12,26-27,0.16,27-28,0.14333333333333334,0.21,25-26,0.19,26-27,0.22,27-28,0.20666666666666667
GRIFSF1,Griffith Solar Farm,Griffith,N,Non-REZ,NSW,NSW1,27.19,33.0,Solar,Renewable,0.8424,0.8921,0.8493,,,0.64186785726147,0.0107432723897736,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
GULLRSF1,Gullen Range Solar Farm,Marulan,N,Non-REZ,NSW,NSW1,10.0,330.0,Solar,Renewable,0.9498,0.962,0.9605,0.0328,0.1353,0.165388664850326,0.000681438300925263,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
GNNDHSF1,Gunnedah Solar Farm,Gunnedah,Y,Northwest NSW,NSW,NSW1,110.0,132.0,Solar,Renewable,0.8394,0.8437,0.8473,0.1268,0.1778,0.903607825126104,0.900375357730696,0.0,25-26,0.01,26-27,0.01,27-28,0.006666666666666667,0.04,25-26,0.1,26-27,0.09,27-28,0.07666666666666667
HILLSTN1,Hillston Sun Farm ,Griffith,N,Non-REZ,NSW,NSW1,110.0,132.0,Solar,Renewable,0.8482,0.8888,0.848,0.1304,0.2781,0.64186785726147,0.0107432723897736,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
JEMALNG1,Jemalong Solar Project,Parkes,N,Non-REZ,NSW,NSW1,55.0,66.0,Solar,Renewable,0.8943,0.8923,0.8823,0.0695,0.1147,0.87127903942823,0.886109380719023,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
JUNEESF1,Junee Solar Farm,Wagga,Y,Wagga Wagga,NSW,NSW1,36.01,132.0,Solar,Renewable,0.8752,0.922,0.8725,0.1534,0.2801,0.585990827565887,0.00631707880200049,0.0,25-26,0.0,26-27,0.0,27-28,0.0,0.01,25-26,0.03,26-27,0.06,27-28,0.03333333333333333
LIMOSF11,Limondale Solar Farm 1,Balranald,Y,South west NSW,NSW,NSW1,230.0,220.0,Solar,Renewable,0.7774,0.8529,0.809,0.1138,0.2431,0.505349468159863,0.286268642359214,0.11,25-26,0.09,26-27,0.01,27-28,0.07,0.16,25-26,0.17,26-27,0.09,27-28,0.14
LIMOSF21,Limondale Solar Farm 2,Balranald,Y,South west NSW,NSW,NSW1,28.98,22.0,Solar,Renewable,0.7793,0.8528,0.8143,0.1244,0.2403,0.505349468159863,0.286268642359214,0.11,25-26,0.09,26-27,0.01,27-28,0.07,0.16,25-26,0.17,26-27,0.09,27-28,0.14
MANSLR1,Manildra solar Farm,Molong,Y,Central West Orana,NSW,NSW1,50.0,132.0,Solar,Renewable,0.9541,0.94,0.9397,0.4514,0.5511,0.919931770355409,0.928940919385981,0.15,25-26,0.12,26-27,0.16,27-28,0.14333333333333334,0.21,25-26,0.19,26-27,0.22,27-28,0.20666666666666667
METZSF1,Metz Solar Farm,Armidale,Y,New England,NSW,NSW1,135.0,132.0,Solar,Renewable,0.8668,0.8557,0.8702,0.0075,0.0614,0.231026075027885,0.0508351004251619,0.1,25-26,0.15,26-27,0.24,27-28,0.16333333333333333,0.16,25-26,0.26,26-27,0.34,27-28,0.25333333333333335
MOLNGSF1,Molong Solar Farm,Molong,Y,Central West Orana,NSW,NSW1,36.08,66.0,Solar,Renewable,0.9616,0.9573,0.9517,0.488,0.5639,0.919931770355409,0.928940919385981,0.15,25-26,0.12,26-27,0.16,27-28,0.14333333333333334,0.21,25-26,0.19,26-27,0.22,27-28,0.20666666666666667
MOREESF1,Moree Solar Farm,Moree,Y,Northwest NSW,NSW,NSW1,56.0,66.0,Solar,Renewable,0.8086,0.8387,0.8541,0.012,0.0089,0.188257195450457,0.0686562187806459,0.0,25-26,0.01,26-27,0.01,27-28,0.006666666666666667,0.04,25-26,0.1,26-27,0.09,27-28,0.07666666666666667
MLSP1,Mugga Lane Solar Park,,N,Non-REZ,NSW,NSW1,12.0,,Solar,Renewable,0.9523,0.9821,0.9799,,,,,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
NASF1,Narromine Solar Farm,Wellington,N,Non-REZ,NSW,NSW1,9.2,132.0,Solar,Renewable,0.9284,0.923,0.9259,,,0.15663609258386,0.0670248501388058,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
NEVERSF1,Nevertire Solar Farm,Wellington,Y,Central West Orana,NSW,NSW1,104.64,132.0,Solar,Renewable,0.9284,0.923,0.9259,0.0332,0.078,0.15663609258386,0.0670248501388058,0.15,25-26,0.12,26-27,0.16,27-28,0.14333333333333334,0.21,25-26,0.19,26-27,0.22,27-28,0.20666666666666667
NEWENSF1,New England Solar Farm,Armidale,Y,New England,NSW,NSW1,200.0,330.0,Solar,Renewable,0.8901,0.8803,0.8943,0.0851,0.125,0.231026075027885,0.0508351004251619,0.1,25-26,0.15,26-27,0.24,27-28,0.16333333333333333,0.16,25-26,0.26,26-27,0.34,27-28,0.25333333333333335
NEWENSF2,New England Solar Farm,Armidale,Y,New England,NSW,NSW1,200.0,330.0,Solar,Renewable,0.8901,0.8803,0.8943,0.0885,0.1153,0.231026075027885,0.0508351004251619,0.1,25-26,0.15,26-27,0.24,27-28,0.16333333333333333,0.16,25-26,0.26,26-27,0.34,27-28,0.25333333333333335
NYNGAN1,Nyngan Solar Plant,Wellington,Y,Central West Orana,NSW,NSW1,102.03,132.0,Solar,Renewable,0.9835,0.9793,0.9698,0.0277,0.0388,0.15663609258386,0.0670248501388058,0.15,25-26,0.12,26-27,0.16,27-28,0.14333333333333334,0.21,25-26,0.19,26-27,0.22,27-28,0.20666666666666667
PARSF1,Parkes Solar Farm,Parkes,N,Non-REZ,NSW,NSW1,49.5,66.0,Solar,Renewable,0.8969,0.8888,0.8827,0.123,0.2694,0.87127903942823,0.886109380719023,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
QPSFB1,Quorn Park Solar Hybrid,,N,Non-REZ,NSW,NSW1,96.0,,Solar,Renewable,,1.019,0.8863,,,,,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
ROYALLA1,Royalla Solar Farm,,N,Non-REZ,NSW,NSW1,20.0,,Solar,Renewable,0.9515,0.9814,0.9656,,,,,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
SUNRSF1,SUNRAYSIA SF,Balranald,Y,South west NSW,NSW,NSW1,228.8,220.0,Solar,Renewable,0.7774,0.8529,0.8098,0.1059,0.1146,0.505349468159863,0.286268642359214,0.11,25-26,0.09,26-27,0.01,27-28,0.07,0.16,25-26,0.17,26-27,0.09,27-28,0.14
SEBSF1,Sebastopol Solar Farm,Canberaa,Y,Wagga Wagga,NSW,NSW1,90.0,132.0,Solar,Renewable,0.8752,0.922,0.8725,0.1766,0.2365,0.1571570475144,0.0362161714591237,0.0,25-26,0.0,26-27,0.0,27-28,0.0,0.01,25-26,0.03,26-27,0.06,27-28,0.03333333333333333
SKSF1,South Keswick Solar Farm,Haymarket,N,Non-REZ,NSW,NSW1,13.9,132.0,Solar,Renewable,0.9284,0.923,0.9259,,,0.167592623869037,0.000643212863569608,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
STUBSF1,Stubbo Solar Farm 1,Beryl,Y,Central West Orana,NSW,NSW1,202.0,330.0,Solar,Renewable,0.9422,0.9429,0.9421,,,0.636442356808484,0.6001917294906,0.15,25-26,0.12,26-27,0.16,27-28,0.14333333333333334,0.21,25-26,0.19,26-27,0.22,27-28,0.20666666666666667
STUBSF2,Stubbo Solar Farm 2,Beryl,Y,Central West Orana,NSW,NSW1,198.0,330.0,Solar,Renewable,0.9422,0.9429,0.9421,,,0.636442356808484,0.6001917294906,0.15,25-26,0.12,26-27,0.16,27-28,0.14333333333333334,0.21,25-26,0.19,26-27,0.22,27-28,0.20666666666666667
SUNTPSF1,Suntop Solar Farm,Wellington,Y,Central West Orana,NSW,NSW1,150.0,132.0,Solar,Renewable,0.9096,0.9073,0.9054,0.1231,0.1167,0.15663609258386,0.0670248501388058,0.15,25-26,0.12,26-27,0.16,27-28,0.14333333333333334,0.21,25-26,0.19,26-27,0.22,27-28,0.20666666666666667
WAGGNSF1,Wagga North Solar Farm,Wagga,Y,Wagga Wagga,NSW,NSW1,19.64,66.0,Solar,Renewable,0.872,0.9183,0.8686,0.1585,0.2501,0.585990827565887,0.00631707880200049,0.0,25-26,0.0,26-27,0.0,27-28,0.0,0.01,25-26,0.03,26-27,0.06,27-28,0.03333333333333333
WLWLSF1,Walla Walla Solar Farm 1,Wagga,N,Non-REZ,NSW,NSW1,151.97,330.0,Solar,Renewable,0.8853,0.9298,0.8796,,,0.585990827565887,0.00631707880200049,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
WLWLSF2,Walla Walla Solar Farm 2,Wagga,N,Non-REZ,NSW,NSW1,151.97,330.0,Solar,Renewable,0.8853,0.9298,0.8783,,,0.585990827565887,0.00631707880200049,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
WELNSF1,Wellington North Solar Farm,Wellington,Y,Central West Orana,NSW,NSW1,436.8,330.0,Solar,Renewable,0.9389,0.9339,0.9364,,0.0616,0.15663609258386,0.0670248501388058,0.15,25-26,0.12,26-27,0.16,27-28,0.14333333333333334,0.21,25-26,0.19,26-27,0.22,27-28,0.20666666666666667
WELLSF1,Wellington Solar Farm ,Wellington,Y,Central West Orana,NSW,NSW1,216.08,132.0,Solar,Renewable,0.9284,0.923,0.9259,0.0315,0.0306,0.15663609258386,0.0670248501388058,0.15,25-26,0.12,26-27,0.16,27-28,0.14333333333333334,0.21,25-26,0.19,26-27,0.22,27-28,0.20666666666666667
WSTWYSF1,West Wyalong Solar Farm,Griffith,N,Non-REZ,NSW,NSW1,105.27,132.0,Solar,Renewable,0.8752,0.922,0.8725,0.1433,0.1883,0.64186785726147,0.0107432723897736,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
WRSF1,White Rock Solar Farm,Armidale,Y,New England,NSW,NSW1,20.0,132.0,Solar,Renewable,0.8453,0.8149,0.8286,0.0652,0.0647,0.231026075027885,0.0508351004251619,0.1,25-26,0.15,26-27,0.24,27-28,0.16333333333333333,0.16,25-26,0.26,26-27,0.34,27-28,0.25333333333333335
WOLARSF1,Wollar Solar Farm,Wollar,N,Non-REZ,NSW,NSW1,280.0,330.0,Solar,Renewable,0.953,0.957,0.9548,,,0.158699742317549,0.000581408571101005,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
WYASF1,Wyalong Solar Farm,Wagga,N,Non-REZ,NSW,NSW1,62.32,132.0,Solar,Renewable,0.8752,0.922,0.8725,0.2031,0.1969,0.585990827565887,0.00631707880200049,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
ALDGASF1,Aldoga Solar Farm ,,N,Non-REZ,QLD,QLD1,535.213,,Solar,Renewable,0.9659,0.9318,0.9029,,,,,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
BAKING1,Baking Board Solar Farm,Tarong,N,Non-REZ,QLD,QLD1,14.7,132.0,Solar,Renewable,0.9442,0.9593,0.9461,,,0.233985863287972,0.0559828223482727,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
BARCSF1,Barcaldine Solar Farm,,N,Non-REZ,QLD,QLD1,20.0,,Solar,Renewable,0.937,0.941,0.9009,,,,,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
BLUEGSF1,Blue Grass Solar Farm,Tarong,Y,Darling Downs,QLD,QLD1,148.0,132.0,Solar,Renewable,0.9433,0.9543,0.9459,0.0523,0.0221,0.233985863287972,0.0559828223482727,0.0,25-26,0.0,26-27,0.0,27-28,0.0,0.01,25-26,0.02,26-27,0.02,27-28,0.016666666666666666
BRDDSF01,Broadsound Energy Park,,N,Non-REZ,QLD,QLD1,368.0,,Solar,Renewable,,0.929,0.9127,,,,,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
BUSF1,Bundaberg Solar Farm,,N,Non-REZ,QLD,QLD1,101.0,,Solar,Renewable,,0.9677,,,,,,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
CHILDSF1,Childers Solar Farm,Bundaberg,Y,Wide Bay,QLD,QLD1,64.38,132.0,Solar,Renewable,0.9828,0.9772,0.9566,0.0033,0.1154,0.218738210926131,0.0522010106762296,0.0,25-26,0.0,26-27,0.0,27-28,0.0,0.03,25-26,0.05,26-27,0.06,27-28,0.04666666666666667
CLARESF1,Clare Solar Farm,Ross,Y,Northern Queensland,QLD,QLD1,110.4,132.0,Solar,Renewable,0.9116,0.9363,0.885,0.2171,0.1651,0.219557634008624,0.0510095644706063,0.0,25-26,0.0,26-27,0.0,27-28,0.0,0.01,25-26,0.04,26-27,0.04,27-28,0.03
CLERMSF1,Clermont Solar Farm,Lilyvale,Y,Isaac,QLD,QLD1,92.5,132.0,Solar,Renewable,0.937,0.941,0.9009,0.0251,0.0201,0.22576156415161,0.0531062553506225,0.0,25-26,0.0,26-27,0.0,27-28,0.0,0.01,25-26,0.03,26-27,0.03,27-28,0.023333333333333334
CSPVPS1,Collinsville Solar PV Power Station,Strathmore,Y,Isaac,QLD,QLD1,42.5,33.0,Solar,Renewable,0.9356,0.9413,0.9016,0.0067,0.0057,0.221997464026796,0.0524178948511446,0.0,25-26,0.0,26-27,0.0,27-28,0.0,0.01,25-26,0.03,26-27,0.03,27-28,0.023333333333333334
COLUMSF1,Columboola Solar Farm,Columboola,Y,Darling Downs,QLD,QLD1,217.25,132.0,Solar,Renewable,0.9718,0.9865,0.9824,,0.0264,0.223370431255546,0.0519780465459995,0.0,25-26,0.0,26-27,0.0,27-28,0.0,0.01,25-26,0.02,26-27,0.02,27-28,0.016666666666666666
DDSF1,Darling Downs Solar Farm,Western Downs,Y,Darling Downs,QLD,QLD1,121.0,275.0,Solar,Renewable,0.9755,0.9849,0.9798,0.0047,0.0099,0.224633904533977,0.0520360014057779,0.0,25-26,0.0,26-27,0.0,27-28,0.0,0.01,25-26,0.02,26-27,0.02,27-28,0.016666666666666666
DAYDSF1,Daydream Solar Farm,Strathmore,Y,Isaac,QLD,QLD1,167.75,33.0,Solar,Renewable,0.9306,0.9396,0.9007,0.0048,0.0375,0.221997464026796,0.0524178948511446,0.0,25-26,0.0,26-27,0.0,27-28,0.0,0.01,25-26,0.03,26-27,0.03,27-28,0.023333333333333334
EDENVSF1,Edenvale Solar Park,Western Downs,Y,Darling Downs,QLD,QLD1,180.0,275.0,Solar,Renewable,0.9707,0.9823,0.9789,0.0135,0.053,0.224633904533977,0.0520360014057779,0.0,25-26,0.0,26-27,0.0,27-28,0.0,0.01,25-26,0.02,26-27,0.02,27-28,0.016666666666666666
EMERASF1,Emerald Solar Park,Lilyvale,N,Non-REZ,QLD,QLD1,72.0,66.0,Solar,Renewable,0.9331,0.9381,0.8972,0.3012,0.004,0.22576156415161,0.0531062553506225,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
GANGARR1,Gangarri Solar Farm,Western Downs,Y,Darling Downs,QLD,QLD1,162.0,132.0,Solar,Renewable,0.9788,0.9977,0.9918,0.0217,0.1852,0.224633904533977,0.0520360014057779,0.0,25-26,0.0,26-27,0.0,27-28,0.0,0.01,25-26,0.02,26-27,0.02,27-28,0.016666666666666666
GUSF1,Gunsynd Solar Farm,,N,Non-REZ,QLD,QLD1,122.775,,Solar,Renewable,,0.9836,0.98,,,,,,25-26,,26-27,,27-28,,,25-26,,26-27,,27-28,
HAMISF1,Hamilton Solar Farm,Strathmore,Y,Isaac,QLD,QLD1,57.5,33.0,Solar,Renewable,0.9305,0.9385,0.8977,0.016,0.0682,0.221997464026796,0.0524178948511446,0.0,25-26,0.0,26-27,0.0,27-28,0.0,0.01,25-26,0.03,26-27,0.03,27-28,0.023333333333333334
